event_id,timestamp_start,timestamp_end,event_type,road_id,location_description,severity,duration_minutes,affected_lanes,response_team_dispatched,response_time_min,casualties,description,cause,weather_condition,road_name,road_type,length_km,lanes,speed_limit_kmh,capacity_vehicles_per_hour,has_bus_lane,has_bike_lane,surface_condition,last_maintenance_date,latitude_start,longitude_start,latitude_end,longitude_end,district,toll_rate_rp,avg_daily_traffic
EVT-00011,2024-03-13 10:50:00,2024-03-13 12:26:00,Jalan Ditutup,RD-0054,Jl. KS Tubun - Slipi,Major,96,1,1,22,0,Bahan berbahaya tumpah,Curah hujan tinggi,Berawan,Jl. Segment 54,Jalan Lingkungan,1.6,1,40,794,0,1,Baik,2023-04-18,-6.248266,106.944855,-6.263402,106.934445,Menteng,0,1313
EVT-00012,2024-01-25 02:48:00,2024-01-25 13:53:00,Acara Khusus,RD-0069,Jl. Casablanca - Kampung Melayu,Moderate,665,4,1,43,0,Pemasangan marka jalan,Jalan rusak,Hujan Lebat,Jl. Segment 69,Jalan Kolektor,3.5,4,60,5996,0,1,Cukup,2023-09-08,-6.199777,106.821613,-6.190666,106.839249,Senen,0,9009
EVT-00013,2024-03-28 02:18:00,2024-03-28 04:49:00,Konvoi,RD-0135,Jl. Raden Saleh - Salemba,Minor,151,3,0,0,0,Kecelakaan tunggal,Insiden struktur jalan,Cerah,Jl. Segment 135,Jalan Tol,14.8,8,80,12128,1,0,Baik,2022-06-14,-6.233788,106.838651,-6.229607,106.824592,Senayan,25000,15745
EVT-00014,2024-02-24 01:24:00,2024-02-24 02:50:00,Kecelakaan,RD-0087,Jl. Rasuna Said - Setiabudi,Moderate,86,1,1,33,0,Insiden struktur jalan,Jalan rusak,Hujan Lebat,Jl. Segment 87,Jalan Lokal,2.8,1,40,432,0,1,Baik,2024-02-03,-6.29308,106.848848,-6.28077,106.843065,Sudirman,0,727
EVT-00015,2024-02-06 19:50:00,2024-02-06 22:09:00,Kendaraan Mogok,RD-0001,Jl. Gajah Mada - Mangga Dua,Minor,139,1,1,7,0,Kendaraan terguling,Jalan rusak,Hujan Sedang,Jl. Segment 1,Jalan Kolektor,4.3,4,60,5384,0,0,Cukup,2022-12-21,-6.173938,106.920654,-6.187271,106.937674,PIK,0,10833
EVT-00016,2024-01-30 23:16:00,2024-02-01 06:27:00,Perbaikan Jalan,RD-0123,Jl. Gajah Mada - Mangga Dua,Major,1871,2,1,38,0,Drainase tersumbat,Insiden struktur jalan,Hujan Sedang,Jl. Segment 123,Jalan Lingkungan,2.9,1,20,482,0,1,Cukup,2022-10-07,-6.123726,106.96898,-6.116991,106.952577,Sunter,0,697
EVT-00017,2024-01-12 15:18:00,2024-01-13 00:24:00,Banjir,RD-0195,Jl. Rasuna Said - Setiabudi,Minor,546,3,0,0,0,Kecelakaan tunggal,Perbaikan saluran air,Hujan Ringan,Jl. Segment 195,Jalan Tol,23.6,4,100,6244,0,0,Rusak Ringan,2022-04-24,-6.114807,106.862922,-6.130317,106.882122,Kelapa Gading,25000,10256
EVT-00018,2024-01-10 19:39:00,2024-01-10 22:05:00,Kecelakaan,RD-0123,Jl. Raya Bogor - Cibubur,Moderate,146,2,0,0,0,Kecelakaan beruntun,Kecelakaan tabrakan belakang,Hujan Ringan,Jl. Segment 123,Jalan Lingkungan,2.9,1,20,482,0,1,Cukup,2022-10-07,-6.123726,106.96898,-6.116991,106.952577,Sunter,0,697
EVT-00019,2024-02-28 00:11:00,2024-02-28 05:17:00,Jalan Ditutup,RD-0188,Jl. Sudirman - Bundaran HI,Minor,306,4,1,25,0,Pemasangan marka jalan,Kendaraan terguling,Cerah,Jl. Segment 188,Jalan Tol,12.9,6,100,9780,1,0,Baik,2023-05-13,-6.347314,106.738856,-6.343721,106.747952,Slipi,10000,9607
EVT-00020,2024-01-06 01:47:00,2024-01-06 07:26:00,Jalan Ditutup,RD-0182,Jl. Hayam Wuruk - Harmoni,Minor,339,3,0,0,0,Festival jalanan,Drainase tersumbat,Cerah,Jl. Segment 182,Jalan Lingkungan,1.7,1,20,681,0,1,Rusak Berat,2024-01-31,-6.104177,106.76465,-6.103834,106.773412,PIK,0,1203
EVT-00021,2024-02-29 22:32:00,2024-03-01 01:37:00,Acara Khusus,RD-0061,Jl. Casablanca - Kampung Melayu,Major,185,3,1,10,0,Bahan berbahaya tumpah,Curah hujan tinggi,Hujan Ringan,Jl. Segment 61,Jalan Lokal,1.0,1,40,748,0,1,Cukup,2022-05-25,-6.119442,106.741716,-6.099976,106.730684,Kuningan,0,784
EVT-00022,2024-02-12 23:01:00,2024-02-13 04:08:00,Protes/Unjuk Rasa,RD-0160,Jl. Asia Afrika - Gelora Bung Karno,Moderate,307,1,1,36,0,Kendaraan mogok di jalan,Perbaikan saluran air,Berawan,Jl. Segment 160,Jalan Tol,17.6,4,100,6696,0,0,Cukup,2022-10-12,-6.247096,106.782557,-6.246512,106.781276,Senayan,5000,6659
EVT-00023,2024-01-05 04:59:00,2024-01-05 10:14:00,Protes/Unjuk Rasa,RD-0130,Jl. Asia Afrika - Gelora Bung Karno,Moderate,315,4,0,0,0,Kendaraan mogok di jalan,Konvoi kendaraan resmi,Hujan Ringan,Jl. Segment 130,Jalan Kolektor,4.0,4,60,3780,0,0,Baik,2023-06-24,-6.149785,106.76061,-6.146949,106.773666,Mangga Dua,0,3886
EVT-00024,2024-03-30 20:41:00,2024-03-31 00:31:00,Jalan Ditutup,RD-0173,Jl. KS Tubun - Slipi,Moderate,230,2,1,40,0,Proyek perbaikan jalan,Pemasangan marka jalan,Berawan,Jl. Segment 173,Jalan Tol,15.7,8,100,14688,1,0,Baik,2022-04-07,-6.198667,106.975505,-6.193383,106.990089,Senen,25000,12134
EVT-00025,2024-02-09 07:09:00,2024-02-09 12:05:00,Protes/Unjuk Rasa,RD-0141,Jl. Jend. Gatot Subroto - Slipi,Critical,296,4,1,16,0,Kecelakaan tabrakan belakang,Konvoi kendaraan resmi,Hujan Ringan,Jl. Segment 141,Jalan Tol,7.0,4,100,6828,1,0,Cukup,2023-08-23,-6.267277,106.929729,-6.276074,106.926024,Senen,10000,6826
EVT-00026,2024-01-24 12:53:00,2024-01-25 17:26:00,Perbaikan Jalan,RD-0148,Jl. Jend. Gatot Subroto - Slipi,Minor,1713,2,1,34,0,Kecelakaan tabrakan belakang,Kecelakaan tabrakan belakang,Hujan Ringan,Jl. Segment 148,Jalan Tol,7.8,4,80,6028,1,0,Cukup,2022-06-05,-6.107267,106.727882,-6.087672,106.739956,Menteng,15000,6095
EVT-00027,2024-03-11 07:29:00,2024-03-11 12:25:00,Acara Khusus,RD-0026,Jl. MT Haryono - Cawang,Critical,296,4,1,27,0,Kecelakaan tunggal,Insiden struktur jalan,Berawan,Jl. Segment 26,Jalan Lokal,0.8,1,30,546,0,1,Cukup,2022-06-15,-6.234315,106.877826,-6.241356,106.867461,Bekasi,0,741
EVT-00028,2024-03-18 18:26:00,2024-03-18 22:58:00,Kemacetan Parah,RD-0018,Jl. Pemuda - Senen,Critical,272,3,1,24,0,Festival jalanan,Proyek perbaikan jalan,Hujan Lebat,Jl. Segment 18,Jalan Lokal,2.0,2,40,1130,0,1,Baik,2022-07-06,-6.155299,106.704811,-6.1648,106.717272,Depok,0,1227
EVT-00029,2024-01-10 14:45:00,2024-01-10 16:00:00,Kendaraan Mogok,RD-0130,Jl. Jend. Gatot Subroto - Slipi,Moderate,75,4,0,0,0,Jalan rusak,Curah hujan tinggi,Hujan Sedang,Jl. Segment 130,Jalan Kolektor,4.0,4,60,3780,0,0,Baik,2023-06-24,-6.149785,106.76061,-6.146949,106.773666,Mangga Dua,0,3886
EVT-00030,2024-01-08 07:45:00,2024-01-08 08:52:00,Pohon Tumbang,RD-0131,Jl. Sudirman - Bundaran HI,Moderate,67,4,0,0,0,Perbaikan saluran air,Proyek perbaikan jalan,Cerah,Jl. Segment 131,Jalan Kolektor,2.6,2,60,2920,0,0,Baik,2023-05-14,-6.102745,106.901649,-6.12177,106.914168,Depok,0,3231
EVT-00031,2024-03-26 22:29:00,2024-03-27 00:20:00,Kendaraan Mogok,RD-0011,Jl. Hayam Wuruk - Harmoni,Major,111,3,1,34,0,Perbaikan saluran air,Jalan rusak,Hujan Lebat,Jl. Segment 11,Jalan Lokal,2.6,1,20,566,0,0,Baik,2022-08-10,-6.229897,106.715647,-6.215547,106.710705,Menteng,0,594
EVT-00032,2024-01-03 07:31:00,2024-01-03 11:41:00,Kemacetan Parah,RD-0102,Jl. Asia Afrika - Gelora Bung Karno,Minor,250,2,0,0,0,Proyek perbaikan jalan,Kendaraan mogok di jalan,Hujan Sedang,Jl. Segment 102,Jalan Lingkungan,1.0,2,40,984,0,0,Baik,2022-11-25,-6.148128,106.978344,-6.143584,106.984453,Depok,0,1357
EVT-00033,2024-02-19 12:11:00,2024-02-19 20:40:00,Acara Khusus,RD-0060,Jl. Satrio - Mega Kuningan,Major,509,4,1,40,0,Proyek perbaikan jalan,Kecelakaan tabrakan belakang,Hujan Sedang,Jl. Segment 60,Jalan Lingkungan,0.9,2,30,916,0,0,Rusak Ringan,2023-04-24,-6.341224,106.83104,-6.344775,106.846195,Kelapa Gading,0,1402
EVT-00034,2024-02-10 08:30:00,2024-02-10 11:14:00,Protes/Unjuk Rasa,RD-0194,Jl. Proklamasi - Menteng,Minor,164,2,0,0,0,Proyek perbaikan jalan,Perbaikan saluran air,Berawan,Jl. Segment 194,Jalan Arteri,9.7,6,80,10476,1,0,Baik,2023-07-15,-6.223036,106.759054,-6.214148,106.753365,Mangga Dua,0,20287
EVT-00035,2024-03-31 04:36:00,2024-03-31 07:53:00,Protes/Unjuk Rasa,RD-0032,Jl. Proklamasi - Menteng,Moderate,197,2,1,44,0,Insiden struktur jalan,Kecelakaan tunggal,Hujan Sedang,Jl. Segment 32,Jalan Tol,5.6,4,120,7748,0,0,Cukup,2022-11-21,-6.295865,106.703131,-6.303513,106.692182,Blok M,15000,5793
EVT-00036,2024-01-02 05:55:00,2024-01-02 11:38:00,Kemacetan Parah,RD-0036,Jl. Thamrin - Monas,Moderate,343,3,1,29,0,Perbaikan saluran air,Curah hujan tinggi,Hujan Ringan,Jl. Segment 36,Jalan Tol,19.9,6,120,9684,0,0,Baik,2023-02-05,-6.195703,106.716284,-6.187617,106.71743,Sunter,15000,9039
EVT-00037,2024-01-05 12:02:00,2024-01-05 17:54:00,Konvoi,RD-0033,Jl. Casablanca - Kampung Melayu,Moderate,352,3,0,0,0,Kecelakaan tunggal,Konvoi kendaraan resmi,Hujan Lebat,Jl. Segment 33,Jalan Arteri,6.7,4,80,5848,1,1,Baik,2024-02-15,-6.133781,106.923052,-6.130973,106.912178,Cawang,0,10333
EVT-00038,2024-01-11 03:39:00,2024-01-11 04:51:00,Kecelakaan,RD-0086,Jl. Raden Saleh - Salemba,Major,72,4,1,31,0,Festival jalanan,Proyek perbaikan jalan,Hujan Lebat,Jl. Segment 86,Jalan Lokal,2.6,2,40,1194,0,1,Rusak Berat,2024-02-03,-6.285388,106.723021,-6.268295,106.710876,Senayan,0,1338
EVT-00039,2024-01-29 18:59:00,2024-01-29 19:15:00,Kendaraan Mogok,RD-0102,Jl. Gajah Mada - Mangga Dua,Moderate,16,4,0,0,0,Kendaraan terguling,Insiden struktur jalan,Hujan Sedang,Jl. Segment 102,Jalan Lingkungan,1.0,2,40,984,0,0,Baik,2022-11-25,-6.148128,106.978344,-6.143584,106.984453,Depok,0,1357
EVT-00040,2024-03-06 05:27:00,2024-03-06 08:29:00,Kemacetan Parah,RD-0189,Jl. KS Tubun - Slipi,Major,182,2,1,9,0,Konvoi kendaraan resmi,Insiden struktur jalan,Hujan Lebat,Jl. Segment 189,Jalan Tol,10.9,6,100,9720,1,0,Rusak Ringan,2023-01-07,-6.170515,106.801495,-6.182615,106.819482,Senen,5000,10044
EVT-00041,2024-01-25 18:10:00,2024-01-25 22:03:00,Acara Khusus,RD-0077,Jl. Asia Afrika - Gelora Bung Karno,Major,233,2,1,44,0,Jalan rusak,Pemasangan marka jalan,Berawan,Jl. Segment 77,Jalan Tol,24.1,4,100,6252,0,0,Baik,2023-07-30,-6.257631,106.942792,-6.257197,106.929462,Sudirman,15000,7523
EVT-00042,2024-02-20 20:42:00,2024-02-21 02:12:00,Konvoi,RD-0190,Jl. Gajah Mada - Mangga Dua,Major,330,3,1,34,0,Insiden struktur jalan,Insiden struktur jalan,Hujan Sedang,Jl. Segment 190,Jalan Lingkungan,2.6,2,40,820,0,1,Rusak Berat,2023-08-01,-6.317618,106.899834,-6.308081,106.910626,PIK,0,842
EVT-00043,2024-03-11 12:54:00,2024-03-11 16:27:00,Kemacetan Parah,RD-0165,Jl. Asia Afrika - Gelora Bung Karno,Major,213,2,1,5,0,Kendaraan terguling,Konvoi kendaraan resmi,Cerah,Jl. Segment 165,Jalan Lingkungan,1.9,2,20,1228,0,1,Baik,2023-04-01,-6.194788,106.799688,-6.192493,106.80675,Cibubur,0,2592
EVT-00044,2024-01-03 08:11:00,2024-01-03 16:30:00,Banjir,RD-0093,Jl. KS Tubun - Slipi,Minor,499,4,1,22,0,Kecelakaan beruntun,Jalan rusak,Hujan Ringan,Jl. Segment 93,Jalan Lingkungan,1.2,2,40,1308,0,1,Cukup,2023-10-06,-6.207902,106.830518,-6.214711,106.811095,Cakung,0,1381
EVT-00045,2024-03-31 17:44:00,2024-03-31 23:43:00,Kemacetan Parah,RD-0194,Jl. Casablanca - Kampung Melayu,Major,359,3,1,14,0,Drainase tersumbat,Kecelakaan beruntun,Hujan Ringan,Jl. Segment 194,Jalan Arteri,9.7,6,80,10476,1,0,Baik,2023-07-15,-6.223036,106.759054,-6.214148,106.753365,Mangga Dua,0,20287
EVT-00046,2024-01-02 18:19:00,2024-01-02 20:41:00,Banjir,RD-0098,Jl. KS Tubun - Slipi,Major,142,1,1,25,0,Kecelakaan beruntun,Konvoi kendaraan resmi,Hujan Sedang,Jl. Segment 98,Jalan Lingkungan,0.4,1,30,738,0,1,Cukup,2022-05-09,-6.336696,106.99309,-6.348823,107.011265,Senayan,0,1068
EVT-00047,2024-01-25 14:15:00,2024-01-26 00:16:00,Acara Khusus,RD-0196,Jl. HR Rasuna Said - Casablanca,Major,601,1,1,31,0,Bahan berbahaya tumpah,Kendaraan mogok di jalan,Hujan Lebat,Jl. Segment 196,Jalan Kolektor,3.9,2,60,2198,0,1,Cukup,2024-02-02,-6.233388,106.770735,-6.214167,106.752713,Menteng,0,2138
EVT-00048,2024-03-05 01:23:00,2024-03-05 06:37:00,Konvoi,RD-0164,Jl. Gatot Subroto - Kuningan,Minor,314,4,1,20,0,Insiden struktur jalan,Kecelakaan beruntun,Berawan,Jl. Segment 164,Jalan Lingkungan,2.7,1,30,590,0,0,Cukup,2023-12-07,-6.174071,106.934802,-6.155716,106.926286,Menteng,0,641
EVT-00049,2024-01-15 00:27:00,2024-01-15 03:14:00,Kecelakaan,RD-0065,Jl. Jend. Sudirman - Semanggi,Moderate,167,3,1,19,0,Kecelakaan beruntun,Insiden struktur jalan,Cerah,Jl. Segment 65,Jalan Arteri,6.8,4,60,4988,1,0,Baik,2024-03-15,-6.119605,106.75913,-6.120164,106.768187,Grogol,0,6852
EVT-00050,2024-01-25 03:36:00,2024-01-25 06:43:00,Protes/Unjuk Rasa,RD-0048,Jl. Jend. Gatot Subroto - Slipi,Minor,187,2,1,12,0,Kecelakaan beruntun,Kendaraan mogok di jalan,Hujan Ringan,Jl. Segment 48,Jalan Tol,15.0,6,120,11358,0,0,Cukup,2023-06-03,-6.190875,106.990832,-6.175762,106.983009,Sudirman,25000,12645
EVT-00051,2024-02-13 03:39:00,2024-02-13 06:02:00,Pohon Tumbang,RD-0120,Jl. Diponegoro - Cikini,Major,143,1,1,19,0,Konvoi kendaraan resmi,Curah hujan tinggi,Cerah,Jl. Segment 120,Jalan Kolektor,4.9,2,50,2756,0,1,Baik,2023-11-28,-6.344264,106.916692,-6.363767,106.905226,Kuningan,0,2737
EVT-00052,2024-01-08 13:55:00,2024-01-08 17:05:00,Konvoi,RD-0197,Jl. Hayam Wuruk - Harmoni,Minor,190,3,0,0,0,Kecelakaan tunggal,Proyek perbaikan jalan,Hujan Lebat,Jl. Segment 197,Jalan Arteri,3.3,6,60,8130,1,0,Baik,2024-03-17,-6.227477,106.949193,-6.208348,106.961205,Cibubur,0,6064
EVT-00053,2024-03-27 06:51:00,2024-03-27 12:34:00,Konvoi,RD-0111,Jl. Gajah Mada - Mangga Dua,Critical,343,3,1,42,0,Proyek perbaikan jalan,Kendaraan mogok di jalan,Berawan,Jl. Segment 111,Jalan Lokal,0.3,1,40,673,0,1,Baik,2022-06-21,-6.318615,106.834884,-6.300901,106.847984,Mangga Dua,0,834
EVT-00054,2024-03-06 02:07:00,2024-03-06 05:14:00,Pohon Tumbang,RD-0113,Jl. Satrio - Mega Kuningan,Critical,187,4,1,34,0,Kecelakaan beruntun,Proyek perbaikan jalan,Hujan Lebat,Jl. Segment 113,Jalan Lingkungan,2.2,2,30,1380,0,0,Baik,2024-02-11,-6.140164,106.714297,-6.124552,106.725779,Grogol,0,1804
EVT-00055,2024-01-04 06:05:00,2024-01-04 09:29:00,Konvoi,RD-0007,Jl. MT Haryono - Cawang,Minor,204,1,0,0,0,Insiden struktur jalan,Kecelakaan tabrakan belakang,Berawan,Jl. Segment 7,Jalan Lokal,1.0,2,20,1318,0,0,Cukup,2023-02-19,-6.313205,106.892955,-6.306143,106.886125,Menteng,0,2133
EVT-00056,2024-02-01 03:31:00,2024-02-01 13:08:00,Banjir,RD-0149,Jl. Thamrin - Monas,Major,577,4,1,5,0,Proyek perbaikan jalan,Perbaikan saluran air,Hujan Sedang,Jl. Segment 149,Jalan Arteri,6.8,6,50,7956,0,1,Baik,2023-08-19,-6.265907,106.846878,-6.255413,106.833138,Cakung,0,10155
EVT-00057,2024-03-20 21:50:00,2024-03-21 01:33:00,Protes/Unjuk Rasa,RD-0088,Jl. Jend. Gatot Subroto - Slipi,Minor,223,2,1,18,0,Kendaraan mogok di jalan,Proyek perbaikan jalan,Hujan Ringan,Jl. Segment 88,Jalan Arteri,3.5,4,80,7124,0,1,Cukup,2023-01-08,-6.195809,106.784934,-6.210423,106.776801,Cibubur,0,9130
EVT-00058,2024-02-08 23:59:00,2024-02-09 02:10:00,Kemacetan Parah,RD-0189,Jl. Rasuna Said - Setiabudi,Moderate,131,2,0,0,0,Insiden struktur jalan,Bahan berbahaya tumpah,Hujan Sedang,Jl. Segment 189,Jalan Tol,10.9,6,100,9720,1,0,Rusak Ringan,2023-01-07,-6.170515,106.801495,-6.182615,106.819482,Senen,5000,10044
EVT-00059,2024-02-13 15:53:00,2024-02-13 22:21:00,Banjir,RD-0107,Jl. Rasuna Said - Setiabudi,Major,388,2,1,10,0,Pemasangan marka jalan,Kendaraan terguling,Hujan Ringan,Jl. Segment 107,Jalan Arteri,2.8,4,60,5072,1,1,Cukup,2022-06-13,-6.258611,106.892297,-6.251502,106.908873,Mangga Dua,0,5484
EVT-00060,2024-02-23 08:15:00,2024-02-23 09:35:00,Kendaraan Mogok,RD-0009,Jl. Diponegoro - Cikini,Minor,80,4,0,0,0,Kendaraan terguling,Kecelakaan tunggal,Hujan Ringan,Jl. Segment 9,Jalan Tol,18.9,8,80,13272,1,0,Baik,2022-07-26,-6.303765,106.787068,-6.298471,106.802574,Kelapa Gading,15000,12171
EVT-00061,2024-03-29 16:00:00,2024-04-01 11:44:00,Perbaikan Jalan,RD-0094,Jl. Thamrin - Monas,Moderate,4064,3,1,5,0,Pemasangan marka jalan,Konvoi kendaraan resmi,Berawan,Jl. Segment 94,Jalan Arteri,3.8,4,60,6928,0,1,Cukup,2023-02-08,-6.277778,106.925251,-6.285175,106.91144,Cawang,0,10954
EVT-00062,2024-03-28 05:30:00,2024-03-28 10:48:00,Jalan Ditutup,RD-0080,Jl. KS Tubun - Slipi,Major,318,1,1,37,0,Bahan berbahaya tumpah,Kecelakaan beruntun,Hujan Lebat,Jl. Segment 80,Jalan Kolektor,1.6,2,50,2590,0,1,Baik,2023-09-21,-6.213804,106.91458,-6.211222,106.928164,Mangga Dua,0,4020
EVT-00063,2024-03-06 13:59:00,2024-03-06 15:45:00,Kecelakaan,RD-0018,Jl. Hayam Wuruk - Harmoni,Major,106,2,1,34,0,Insiden struktur jalan,Curah hujan tinggi,Hujan Lebat,Jl. Segment 18,Jalan Lokal,2.0,2,40,1130,0,1,Baik,2022-07-06,-6.155299,106.704811,-6.1648,106.717272,Depok,0,1227
EVT-00064,2024-01-20 17:29:00,2024-01-20 18:40:00,Jalan Ditutup,RD-0047,Jl. Pemuda - Senen,Major,71,3,1,31,0,Kecelakaan tunggal,Kendaraan terguling,Hujan Lebat,Jl. Segment 47,Jalan Kolektor,4.8,2,50,2360,0,1,Baik,2022-09-28,-6.253993,106.985657,-6.251372,106.985207,PIK,0,2677
EVT-00065,2024-01-10 03:55:00,2024-01-10 07:04:00,Banjir,RD-0069,Jl. Hayam Wuruk - Harmoni,Major,189,2,1,24,0,Kecelakaan beruntun,Drainase tersumbat,Hujan Ringan,Jl. Segment 69,Jalan Kolektor,3.5,4,60,5996,0,1,Cukup,2023-09-08,-6.199777,106.821613,-6.190666,106.839249,Senen,0,9009
EVT-00066,2024-01-03 06:23:00,2024-01-04 20:18:00,Perbaikan Jalan,RD-0141,Jl. Proklamasi - Menteng,Moderate,2275,3,1,15,0,Curah hujan tinggi,Kendaraan terguling,Hujan Ringan,Jl. Segment 141,Jalan Tol,7.0,4,100,6828,1,0,Cukup,2023-08-23,-6.267277,106.929729,-6.276074,106.926024,Senen,10000,6826
EVT-00067,2024-02-04 16:42:00,2024-02-04 18:18:00,Pohon Tumbang,RD-0142,Jl. KS Tubun - Slipi,Minor,96,1,1,28,0,Drainase tersumbat,Insiden struktur jalan,Hujan Lebat,Jl. Segment 142,Jalan Lingkungan,1.7,1,20,680,0,0,Baik,2022-04-30,-6.29715,106.800208,-6.304785,106.817107,PIK,0,508
EVT-00068,2024-01-22 00:55:00,2024-01-22 02:37:00,Kendaraan Mogok,RD-0116,Jl. Casablanca - Kampung Melayu,Minor,102,3,1,17,2,Kecelakaan beruntun,Kecelakaan tunggal,Hujan Ringan,Jl. Segment 116,Jalan Kolektor,4.2,4,50,5620,0,1,Baik,2023-02-15,-6.141396,106.887696,-6.130882,106.90634,Kuningan,0,4541
EVT-00069,2024-03-11 22:47:00,2024-03-12 01:16:00,Protes/Unjuk Rasa,RD-0166,Jl. Hayam Wuruk - Harmoni,Major,149,1,1,10,0,Kecelakaan tunggal,Kecelakaan tunggal,Cerah,Jl. Segment 166,Jalan Lingkungan,2.4,1,40,781,0,0,Rusak Ringan,2024-01-27,-6.28512,106.733146,-6.284932,106.741688,Grogol,0,586
EVT-00070,2024-02-14 13:44:00,2024-02-14 17:52:00,Acara Khusus,RD-0196,Jl. Hayam Wuruk - Harmoni,Critical,248,3,1,13,0,Proyek perbaikan jalan,Kendaraan terguling,Berawan,Jl. Segment 196,Jalan Kolektor,3.9,2,60,2198,0,1,Cukup,2024-02-02,-6.233388,106.770735,-6.214167,106.752713,Menteng,0,2138
EVT-00071,2024-01-01 01:43:00,2024-01-01 03:30:00,Konvoi,RD-0148,Jl. HR Rasuna Said - Casablanca,Minor,107,1,1,11,0,Konvoi kendaraan resmi,Insiden struktur jalan,Hujan Sedang,Jl. Segment 148,Jalan Tol,7.8,4,80,6028,1,0,Cukup,2022-06-05,-6.107267,106.727882,-6.087672,106.739956,Menteng,15000,6095
